setting,backbone,dataset,grid_index,mAP,topk,tau,lam_min,lam_max,n_iter
CLIP_L14_mn40,CLIP_L14,mn40,22,0.6734643164075883,7,0.2,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,23,0.663679257307534,7,0.2,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,24,0.6561013084024963,10,0.1,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,25,0.6630015481920906,10,0.1,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,26,0.6556753536815776,10,0.1,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,27,0.6579258117448612,10,0.1,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,28,0.663321729608244,10,0.1,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,29,0.6552022104038755,10,0.1,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,30,0.654719008510444,10,0.2,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,31,0.6552201070234764,10,0.2,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,32,0.6355806691169238,10,0.2,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,33,0.6569036964759413,10,0.2,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,34,0.6548160548327004,10,0.2,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,35,0.6354637556949136,10,0.2,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,36,0.6473948702119847,15,0.1,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,37,0.6486730858961296,15,0.1,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,38,0.6273967978475318,15,0.1,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,39,0.6491609539309807,15,0.1,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,40,0.6483588789395978,15,0.1,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,41,0.6268097023900306,15,0.1,0.1,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,42,0.6430544328889611,15,0.2,0.0,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,43,0.6358306193325911,15,0.2,0.0,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,44,0.5998076637294156,15,0.2,0.0,0.9,2
CLIP_L14_mn40,CLIP_L14,mn40,45,0.6445390821607411,15,0.2,0.1,0.5,2
CLIP_L14_mn40,CLIP_L14,mn40,46,0.6350482374720983,15,0.2,0.1,0.7,2
CLIP_L14_mn40,CLIP_L14,mn40,47,0.5970193781957795,15,0.2,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,0,0.6396969277518678,5,0.1,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,1,0.6313094076548472,5,0.1,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,2,0.6275787710406465,5,0.1,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,3,0.6378241436672007,5,0.1,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,4,0.6310939591873749,5,0.1,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,5,0.6264784458660893,5,0.1,0.1,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,6,0.6346908915492312,5,0.2,0.0,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,7,0.6289085186505249,5,0.2,0.0,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,8,0.6207506375467189,5,0.2,0.0,0.9,2
CLIP_L14_ntu,CLIP_L14,ntu,9,0.6343963311583978,5,0.2,0.1,0.5,2
CLIP_L14_ntu,CLIP_L14,ntu,10,0.6278658948047258,5,0.2,0.1,0.7,2
CLIP_L14_ntu,CLIP_L14,ntu,11,0.6196823201863968,5,0.2,0.1,0.9,2
