setting,backbone,dataset,batch_size,seed,num_batches,top100_overlap_vs_seed0,mAP,NDCG@100,ANMRR
CLIP_L14_ntu,CLIP_L14,ntu,10,1,27,0.734,0.5699674053417837,0.2595241723261485,0.4555021317383221
CLIP_L14_ntu,CLIP_L14,ntu,10,2,27,0.7362222222222222,0.5825081291817391,0.2611867787730801,0.447411741418073
CLIP_L14_ntu,CLIP_L14,ntu,10,3,27,0.7307407407407408,0.577796788835645,0.2593374854156449,0.44853883084305773
CLIP_L14_ntu,CLIP_L14,ntu,10,4,27,0.7372592592592593,0.5759424872827422,0.258926468838797,0.4540734902099321
CLIP_L14_ntu,CLIP_L14,ntu,full,0,1,1.0,0.6289085186505249,0.27366429800398434,0.40803121812187293
DINOv2_abo,DINOv2,abo,single,0,85,1.0,0.6364289914857777,0.579289530571215,0.3909328229471087
DINOv2_abo,DINOv2,abo,5,0,17,1.0,0.6501015824523898,0.5853397073223028,0.3789763991981187
DINOv2_abo,DINOv2,abo,5,1,17,0.8807058823529411,0.6428900993678578,0.5813004027391784,0.38597735405066724
DINOv2_abo,DINOv2,abo,5,2,17,0.8848235294117647,0.6428942786143732,0.5774685642845063,0.38731540136787906
DINOv2_abo,DINOv2,abo,5,3,17,0.8925882352941179,0.6419547946669227,0.5781395050923969,0.3869542335823206
DINOv2_abo,DINOv2,abo,5,4,17,0.8692941176470589,0.6436385410487241,0.5783014965536439,0.3833508922424792
DINOv2_abo,DINOv2,abo,10,0,9,1.0,0.6561208564514247,0.5883860714474196,0.37411857746436195
DINOv2_abo,DINOv2,abo,10,1,9,0.8316470588235295,0.6531454972481984,0.5812000905081762,0.3782674106959189
DINOv2_abo,DINOv2,abo,10,2,9,0.8380000000000001,0.6493549010167714,0.5789966397749912,0.38597027420974156
DINOv2_abo,DINOv2,abo,10,3,9,0.8583529411764702,0.6460547678620274,0.5819752664136445,0.38020283996910964
DINOv2_abo,DINOv2,abo,10,4,9,0.83,0.6526264936934483,0.5814776539604892,0.37292552318641664
DINOv2_abo,DINOv2,abo,full,0,1,1.0,0.6763183049438112,0.5814958546476031,0.3546953947380551
DINOv2_esb,DINOv2,esb,single,0,120,1.0,0.586411910230144,0.23847549238605778,0.4487138133616944
DINOv2_esb,DINOv2,esb,5,0,24,1.0,0.5919495385183571,0.24078713279760797,0.45721069764531
DINOv2_esb,DINOv2,esb,5,1,24,0.8451666666666668,0.5989082686109869,0.2432234815253847,0.44099855998080456
DINOv2_esb,DINOv2,esb,5,2,24,0.8578333333333333,0.592710217060139,0.24145166681553745,0.44964347971190827
DINOv2_esb,DINOv2,esb,5,3,24,0.8498333333333332,0.6077503069155006,0.2421831262137647,0.4292868179841531
DINOv2_esb,DINOv2,esb,5,4,24,0.856,0.5907725772246408,0.24078041309754844,0.44835314106811386
DINOv2_esb,DINOv2,esb,10,0,12,1.0,0.6036227165894634,0.24153241290311497,0.4426181833322744
DINOv2_esb,DINOv2,esb,10,1,12,0.8069166666666666,0.597493802522325,0.24256631226453723,0.4561709304167375
DINOv2_esb,DINOv2,esb,10,2,12,0.8253333333333333,0.600672474782309,0.24282407599402767,0.4427363901890953
DINOv2_esb,DINOv2,esb,10,3,12,0.8143333333333335,0.6057281700108251,0.2425279246742153,0.43956775687287003
DINOv2_esb,DINOv2,esb,10,4,12,0.82525,0.6003003266112905,0.24376632335575305,0.44809219191372324
DINOv2_esb,DINOv2,esb,full,0,1,1.0,0.6241169216445098,0.24956848609220736,0.4295753137011744
DINOv2_mn40,DINOv2,mn40,single,0,160,1.0,0.6467941133979649,0.7609942554358364,0.3779279598557873
DINOv2_mn40,DINOv2,mn40,5,0,32,1.0,0.672846680587592,0.7720004322492642,0.35628324026249947
DINOv2_mn40,DINOv2,mn40,5,1,32,0.9087500000000001,0.671835551321724,0.7691199748450501,0.3565536248241349
DINOv2_mn40,DINOv2,mn40,5,2,32,0.9033125,0.6736832045873097,0.7716365025397256,0.3552665735511322
DINOv2_mn40,DINOv2,mn40,5,3,32,0.9085000000000001,0.674894695713045,0.7725276452506764,0.3554298797358046
DINOv2_mn40,DINOv2,mn40,5,4,32,0.9113125,0.6694492130995608,0.769320382762763,0.35930016853368657
DINOv2_mn40,DINOv2,mn40,10,0,16,1.0,0.6830274487706722,0.7740579396634951,0.34784972554185806
DINOv2_mn40,DINOv2,mn40,10,1,16,0.89175,0.6789097183100508,0.7710003404160242,0.3515438991142947
DINOv2_mn40,DINOv2,mn40,10,2,16,0.8907499999999999,0.6806843395945805,0.774578147305635,0.35026483056340985
DINOv2_mn40,DINOv2,mn40,10,3,16,0.8927499999999998,0.685776524733367,0.7765391879410781,0.34670798092225247
DINOv2_mn40,DINOv2,mn40,10,4,16,0.8935625,0.6883163046561599,0.7771280434495546,0.3438521436086024
DINOv2_mn40,DINOv2,mn40,full,0,1,1.0,0.716823875364941,0.7855811594244122,0.31562814708485826
DINOv2_ntu,DINOv2,ntu,single,0,270,1.0,0.617969518608397,0.27017659247747855,0.41228932484577296
DINOv2_ntu,DINOv2,ntu,5,0,54,1.0,0.6170350005040253,0.2691104389711301,0.4154872735199264
DINOv2_ntu,DINOv2,ntu,5,1,54,0.8921481481481482,0.6186834265878853,0.27055665891473035,0.41213694677918183
DINOv2_ntu,DINOv2,ntu,5,2,54,0.8891481481481481,0.6198259740886026,0.2703887693461215,0.41275677533779626
DINOv2_ntu,DINOv2,ntu,5,3,54,0.8922962962962963,0.6184717872448269,0.2709298148998796,0.41468182143812
DINOv2_ntu,DINOv2,ntu,5,4,54,0.899222222222222,0.6203254726950136,0.2708507899573549,0.41109264697198056
DINOv2_ntu,DINOv2,ntu,10,0,27,1.0,0.6201576127950527,0.2704645164287382,0.41174799963582825
DINOv2_ntu,DINOv2,ntu,10,1,27,0.8284444444444444,0.6221908025395455,0.2721123996324026,0.40995025208919783
DINOv2_ntu,DINOv2,ntu,10,2,27,0.8335925925925926,0.6221337497332694,0.27110773296412305,0.41143104137723224
DINOv2_ntu,DINOv2,ntu,10,3,27,0.8354814814814814,0.6178916094251274,0.2702356476148513,0.4163334360094366
DINOv2_ntu,DINOv2,ntu,10,4,27,0.8293703703703704,0.6239727266930939,0.27213138434719797,0.40843529390193395
DINOv2_ntu,DINOv2,ntu,full,0,1,1.0,0.6606099330727522,0.281180526839193,0.37857971199367163
OpenCLIP_L14_abo,OpenCLIP_L14,abo,single,0,85,1.0,0.6499378287564244,0.5808010440829234,0.3712503705657943
OpenCLIP_L14_abo,OpenCLIP_L14,abo,5,0,17,1.0,0.6835789802683313,0.5910816411880191,0.3369832796479203
OpenCLIP_L14_abo,OpenCLIP_L14,abo,5,1,17,0.8117647058823529,0.6673418489429193,0.5843269766082381,0.35453103802431823
OpenCLIP_L14_abo,OpenCLIP_L14,abo,5,2,17,0.8104705882352939,0.6819609558408943,0.5877797163539781,0.33652818790413913
OpenCLIP_L14_abo,OpenCLIP_L14,abo,5,3,17,0.8167058823529412,0.6738403619980695,0.5870895576530519,0.3495768748608702
OpenCLIP_L14_abo,OpenCLIP_L14,abo,5,4,17,0.7929411764705883,0.6717029513646411,0.5869835395694595,0.34947047225142813
